name,code
Totem Pole,#A42A04
Turkey Red,#A91101
Tuscan Red,#7C3030
Tyrian Purple,#630330
Ue Red,#B30000
Venetian Red,#C80815
Vermillion,#F4320C
Vivid Red 1,#F70D1A
Wine,#722F37

Pink,#FFC0CB
Blush,#DE5D83
Alluring,#C4ABB9
Pastel pink,#FFD1DC
Amaranth Pink,#F19CBB
Amour,#F5E6EA
Bubblegum,#FFC1CC
Azalea,#F7C8DA
Baby Pink,#F4C2C2
Ballerina,#E899BE
Bambina,#E9D5D3
Barbie Pink,#E0218A
Beauty Bush,#EBB9B3
Birthday Suit,#D4A798
Blossom,#DCB4BC
Blush Pink,#FE828C
Boutique,#DFACB7
Brandy Rose,#B6857A
Bridesmaid,#FAE6DF
Bright Pink,#FE01B1
Brink Pink,#FB607F
Coral,#F88379
Brownish Pink,#C27E79
Bubble Gum,#FFC1CC
Hit Pink,#FDA470
Light Coral,#F08080
Cameo Pink,#EFBBCC
Can,#D08A9B
Candy Pink,#E4717A
Crepe,#F89883
Careys Pink,#C99AA0
Carissma,#E68095
Carnation Pink,#FF7FA7
Cerise Pink,#EC3B83
Chantilly,#EDB8C7
Charm,#D0748B
Classic Rose,#F4C8DB
Congo Pink,#F88379
Coral Pink,#F88379
Cornflower Lilac,#FFB0AC
Cosmos,#FCD5CF
Mulberry,#C54B8C
Cupid,#F5B2C5
Dark Pink,#CB416B
Lace,#FFD8F0
Deep Blush,#E36F8A
Oyster,#F0D8D8
Dirty Pink,#CA7B80
Dull Pink,#D5869D
Dusty Pink,#D58A94
English Lavender,#B48395
Faded Pink,#DE9DAC
Flamingo Pink,#FC8EAC
Floyd,#DA9CA6
French Fuchsia,#FD3F92
Light French Pink,#FD6C9E
Gray Pink,#C3909B
French Rose,#F64A8A
Hopbush,#CD6D93
Kidman,#CCB7B9
Puce,#CC8899
Hot Pink,#FF69B4
Kobi,#E093AB
Raspberry Rose,#B3446C
Lavender Rose,#FBA0E3
Paradise Pink,#E63E62
Light Hot Pink,#FFB3DE
Light Thulian Pink,#E68FAC
Lullaby,#E2CDD5
Magenta Pink,#CC338B
Tulip Pink,#FF8E8E
Mamma Mia,#D5A4A8
Mandys Pink,#F2C3B2
French Pink,#F64A8A
Marshmallow,#FCDBD2
Maverick,#C8B1C0
Mesmerise,#B598A3
Mountbatten Pink,#997A8D
Muted Pink,#D1768F
My Pink,#D68B80
Nadeshiko Pink,#F6ADC6
New York Pink,#D7837F
Old Pink,#C77986
Old Rose,#C08081
Orchid Pink,#F2BDCD
Oriental Pink,#C28E88
Oyster Pink,#D4B5B0
Pale Pink,#FADADD
Pink Lace,#F6CCD7
Pink Lavender,#D8B2D1
Pink Light,#FFB6C1
Pink Salmon,#FF91A4
Pink Sherbet,#F78FA7
Pinkish,#D46A7E
Pinky,#FC86AA
Powder Pink,#FFB2D0
Queen Pink,#E8CCD7
Rosa,#FE86A4
Rose,#FF007F
Rose Bonbon,#F9429E
Rosy Pink,#F6688E
Ruddy Pink,#E18E96
Sakura,#E9B7A9
Schauss Pink,#FF91AF
Shimmering Blush,#D98695
Steel Pink,#CC33CC
Strong Pink,#FF0789
Super Pink,#CF6BA9
Sweet Pink,#EE918D
Mauvelous,#EF98AA
Brink,#FF6090
Nude Pink,#DDC0B4
Tango Pink,#E4717A
Thulian Pink,#DE6FA1
Violet Pink,#FB5FFC
Warm Pink,#FB5581
Wax Flower,#EEB39E
Wewak,#F1919A
Sweet Pink,#EE918D
Wild Watermelon,#FC6C85
Zinnwaldite,#EBC2AF
Orange,#FF8000
Adrenalin,#FF5200
Halloween Orange,#EE5921
Dark Orange,#FF8C00
Tangelo,#FC4C02
Royal Orange,#FF9944
Pastel Orange,#FEBA4F
Coral Orange,#FF7F50
Princeton Orange,#FF8F00
Alamo,#BA8C66
Crayola Orange,#FF7538
Tangerine,#F78702
Vivid Orange,#FF5E0E
Cheese Orange,#FFA600
Alloy Orange,#C46210
Desert Orange,#ED8E4A
Amber,#FF7E00
Flame,#E34A27
Irish Orange,#F5883F
Apricot,#E48F67
Metallic Orange,#E26310
Ayers Rock,#AE451D
Goldfish Orange,#FF9913
Mango Tango,#FB8842
Willpower Orange,#FD5602
Bamboo,#BA6F3F
Lava Orange,#F76806
Beethoven,#D1946C
Big Foot Feet,#E88E5A
Dusty Orange,#E27A53
Dutch Orange,#FF9B00
Biscuit Brown,#BB8B67
Blaze Orange,#FF6600
Peach Orange,#FFCC99
Blood Orange,#FE4B03
Bourbon,#AF6C3E
Safety Orange,#FF6700
Brick Orange,#C14A09
Bright Orange,#FF5B00
Chocolate Orange,#D2691E
Brilliant Orange,#E79C51
Brilliant Scarlet,#E76451
Salmon Orange,#FF8066
Brilliant Tangelo,#E78951
Syracuse Orange,#D44500
Brilliant Vermilion,#E77751
Burning Orange,#FF7034
Burnt Orange,#CC5500
Burnt Siena,#B75203
Cadmium Orange,#ED872D
Tiger Orange,#F96815
California,#E98C3A
Greek Orange,#E06E04
West Side Orange,#FF9916
Carpe Diem,#E4943D
Yam Orange,#E17E45
Carrot,#ED9121
Cinnabar,#E34234
Marigold Orange,#EAA221
Clementine,#E96E00
Coral,#FF7F00
Deep Carrot Orange,#E9692C
Dusty Orange,#F0833A
Neon Orange,#FFAD00
Koi Orange,#D15837
Flush Orange,#FF7F00
Frenzee,#F7A233
Rubber Duck,#FFB437
Salamander Orange,#F05E23
India Saffron,#FF9933
Fulvous,#E48400
Giants Orange,#FE5A1D
Gold Drop,#F18200
Spanish Orange,#F06105
Guggenheim,#FF8E59
Persimmon,#EC5800
Heat Wave,#FF7A00
Terracotta,#E2725B
Juicy,#FF8B00
Mandarin,#F37A48
Orange Peel,#FF9F00
Peach Orange,#FFCC99
Vivid Tangelo,#EC7625
Pizazz,#FF9000
Buff Orange,#F2CA85
Pomegranate,#F34723
Pumpkin,#F5761A
Mango,#FFA62B
Bronze Orange,#CD7F32
Aureoline,#FFA824
Yellow,#FFFF00
Bumblebee,#FCE205
School Bus,#FFD800
Sunshine Yellow,#FFFD37
Macaroon,#F9E076
Honey,#FFC30B
Canary Yellow,#FFEF00
Spanish Yellow,#F9D73D
Golden Tainoi,#FFC152
Banana,#FFE135;#FAFE4B
Light Khaki,#F0E68C
Tuscany,#FCD12A
Yellow Pantone,#FEDF00
Vivid Yellow,#FFE302
Light Brilliant Amber,#FFD865
Amber,#FFBF00
Bright Yellow,#FFFD01
Baby Yellow,#FCEF91
Gold,#FFD700
Butter,#FFFD74
Golden Poppy,#FCC200
Sunflower,#FFDA03
Buzz,#FBEB50
Vibrant Yellow,#FFDA29
Cadmium Lemon,#FFE303
Mustard,#FEDC56
Relax Yellow,#F3E496
Snapchat Yellow,#FFFC00
Royal Yellow,#FADA5E
Fire Yellow,#FEDE17
Conditioner,#FFFFCC
Rainbow Yellow,#F5DE10
Golden Rod,#F9BC08
Cadmium,#FFF600
Cyber,#FFD300
Saffron,#F4C430
Ochre Yellow,#B5904B
Canary Yellow,#FFEF00
Candy Corn,#FBEC5D
Gargoyle Gas,#FFDF46
Pastel Yellow,#FFFE71
Aureolin,#FDEE00
Hot Yellow,#FFDA00
Custard,#FFFD78
Sand Yellow,#FCE166
Daffodil,#FFFF31
Golden Poppy,#FCC200
Golden Sand,#EACE6A
Munsell Yellow,#EFCC00
Golden Yellow,#FFDF00
Corn,#FBEC5D
Mikado,#FFC40C
Gorse,#FDE336
Hansa Yellow,#E9D66B
Hathaway,#F7DE94
Holiday,#F5EB4F
Icterine,#FCF75E
Jasmine,#F8DE7E
Manz,#E4DB55
Citrine,#E4D00A
Banana Mania,#FAE7B5
Dijon,#C49102
Marigold Yellow,#FBE870
Selective Yellow,#FFBA00
Empire,#F7D000
Lemon Chiffon,#FFFACD
Vintage Yellow,#CBA92B
Neon Yellow,#CFFF04
Green,#008000
Forest,#0B6623
Emerald,#50C878
Pine,#01796F
Jungle,#29AB87
Hunter,#3F704D
Mint,#98FB98
Green (Munsell),#00A877
Olive,#708238
Jade,#00A86B
Pine,#01796F
Bluish Green,#10A674
Phthalo Green,#123524
Jewel,#126B40
Algae,#54AC68
Malachite,#0BDA51
Pistachio,#93C572
Mantis,#74C365
Algae,#21C36F
Christmas Green,#00873E
Amazon,#387B54
Lime,#00FF00
Android,#A4C639
Lucky Break,#3E762D
Ao,#008000
Jungle Juice,#2F7532
Chartreuse,#7FFF00
Anise,#A7D67D
Office Green,#008000
Artichoke – Pantone,#4B6F44
Apple,#4FA83D
Ocean Green,#3D9973
Army Green,#4B5320
Parsley,#134F19
Artichoke,#8F9779
Irish,#009A44
Neon Green,#39FF14
Persian,#00A693
Asparagus,#77AB56
Polished Pine,#5DA493
Robin Hood,#167057
Sea Green,#2E8B57
John Deere Green,#367C2B
Viridian,#609078
Atlantis,#97CD2D
Sacramento,#00563F
Hunter,#355E3B
Avocado,#568203
Shamrock,#009E60
Baby Green,#8CFF9E
Bay Leaf,#7BB18D
Sage,#88B378
San Felix,#0B6207
Bilbao,#327C14
Bitter Lemon,#CAE00D
Bluish Green,#10A674
Booger,#9BB53C
Bottle Green,#006A4E
Breaker Bay,#517B78
Bright Green,#01FF07
Verdun,#487800
Brilliant Emerald,#51E764
British Racing,#004225
Brunswick,#1B4D3E
Kelly Green,#4CBB17
French Lime,#9EFD38
Cactus,#587156
Cadmium,#006B3C
Cal Poly,#1E4D2B
Camarone,#00581A
Cardin,#01361C
Castleton,#00563B
Pear,#D1E231
Chlorophyll,#4AFF00
Celadon,#ACE1AF
Chateau,#40A860
Cinnabar,#61B329
Cobalt Green,#3D9140
Corn Green,#71A92C
Paolo Veronese,#009B7D
Citrus,#9FB70A
Como,#4C785C
Cool Green,#33B864
Turquoise Green,#A0D6B4
Crusoe,#004816
Dark Emerald,#27592D
Dark Fern,#0A480D
Dark Forest Green,#002D04
Dark Green,#006400
Dark Mint,#48C072
Spring,#00F0A8
Dark Spring,#177245
Dartmouth,#00693E
Deep Spring,#00592D
Dollar Bill,#85BB65
Dusty Green,#76A973
Foam Green,#90FDA9
Freedom,#006246
Old Moss Green,#867E36
Fringy Flower,#B1E2C1
Fruit Salad,#4BA351
Go Green,#00AB66
Gossamer,#069B81
Gossip,#9FD385
Green Gray,#77926F
Green Haze,#01A368
Green Pea,#1D6142
Caribbean,#00CC99
Greenish,#40A368
Jeepers Creepers,#29A98B
Observatory,#008F70
Keppel,#3AB09E
Gum Leaf,#ACC9B2
Illuminating Emerald,#319177
Dark Aquamarine,#017371
Seafoam,#80F9AD
Genoa,#15736B
Teal,#008080
Caesar,#1B6767
Deep Sea,#01826B
Dull Teal,#5F9E8F
Dusty Teal,#4C9085
Niagara,#06A189
Blue,#0000FF
Navy,#000080
Traditional Royal Blue,#002366
Egyptian,#1034A6
Cerulean,#2A52BE
Royal,#4169E1
Baby Blue,#89CFF0
Tiffany,#81D8D0
Carolina,#4B9CD3
Cobalt Blue,#0047AB
Persian,#1C39BB
New Midnight,#00009C
Turquoise,#40E0D0
Aegean,#4E6E81
Denim,#6F8FAF
Munsell,#0093AF
Pacific,#1CA9C9
Nice Blue,#107AB0
San Marino,#456CAC
Lapis,#26619C
Mavericks,#00538C
Sapphire,#0F52BA
Science Blue,#0066CC
Sea Blue,#006994
Dodger,#104E8B
Admiral Blue,#2C3863
French Blue,#0072BB
Spanish Blue,#0070BB
B'Dazzled,#2E5894
Ice Blue,#99FFFF
Turquoise Blue,#00FFEF
Fluorescent,#15F4EE
Bright Turquoise,#08E8DE
Light Turquoise,#AFEEEE
Blue Light,#ADD8E6
Seafoam Blue,#78D1B6
Sky Blue,#ADD8E6
Ocean Blue,#009DC4
Alaskan,#6DA9D2
Sky Blue Light,#87CEFA
Slate,#007FFF
Snap,#5BA0D0
Star Command,#007BB8
Steel Blue Light,#B0C4DE
Teal Blue,#01889F
Azure,#007FFF
Jordy,#7AAAE0
Bleu De France,#318CE7
Imperial,#002395
Ultramarine,#120A8F
Brewers,#0A2351
Peacock,#33A1C9
Absolute Zero,#0048BA
Fresh Air,#A6E7FF
Celadon,#007BA7
Stone,#819EA8
Spruce,#617178
Byzantine,#3457D5
Cornflower,#6495ED
Crayola Blue,#1F75FE
Celeste,#B2FFFF
Greenish Blue,#0B8B87
Frozen,#9DB6C6
Aero,#7CB9E8
Marine,#042E60
Capri,#00BFFF
Catalina,#062A78
Fountain,#56B4BE
Galactica,#303655
Air Force,#00308F
Blue Ribbon,#0066FF
Blue Gray,#6699CC
Allports,#0076A3
Anakiwa,#8CCEEA
Blueberry,#464196
Danube,#5B89C0
Bright Blue,#0165FC
Indigo Blue,#3F00FF
Trypan,#1C05B3
Picotee,#2E2787
Chelsea,#034694
Blue Jeans,#4E6590
Aquamarine Blue,#71D9E2
Aquarius,#43A8C5
Bluish,#2976BB
Cerulean Frost,#6D9BC3
Charlotte,#A4DCE6
Peacock,#005F69
Chathams,#175579
Dusk Blue,#26538D
Malibu,#66B7E1
Clear Blue,#247AFD
Cool Blue,#4984B8
Aqua,#0AFFFF
Robin Egg,#00CCCC
Bright Cerulean,#1DACD6
Arapawa,#110C6C
Ball,#21ABCD
Believe,#352F77
Phthalo Blue,#000F89
Oxford,#002147
Biscay,#1B3162
Bright Navy,#1974D2
Bright Sky,#02CCFE
Comfort Zone,#A2B9D2
Arctic,#C6E6FB
Lure,#2F77A9
Polynesian,#224C98
Congress Blue,#02478E
Cyan Azure,#4E82B4
Cyan Blue,#00FFFF
Cyan Blue Azure,#4682BF
Bayern,#0066B2
Pantone Blue,#0018A8
Dark Blue,#00008B
Dark Midnight,#003366
Dark Pastel Blue,#779ECB
Deep Sky,#00688B
Slate,#6A5ACD
Savoy,#4B61D1
Duke,#00009C
Dull Blue,#49759C
Light Cerulean,#8BD0E7
Limitless,#254B75
Ford,#2C3968
IBM,#0530AD
Twitter,#1DA1F2
Dell,#0076CE
Little Boy,#6CA0DC
Purple,#800080
Imperial Purple,#602F6B
Plum,#673147
Mauve,#E0B0FF
Tyrian,#66023C
Mulberry,#C54B8C
Periwinkle,#BE93E4
Orchid,#DA70D6
Purple Heart,#7442C8
Affair,#714693
Byzantine,#BD33A4
Purpureus,#9A4EAE
Boogie Wonderland,#84579B
Bright Lavender,#BF94E4
Bruise,#7E4071
Palatinate,#72246C
French Mauve,#D473D4
Lavender Blush,#FFF0F5
Thistle,#D8BFD8
Mountbatten,#997A8D
Ooh La,#A088A6
English Violet,#563C5C
Abracadabra,#564985
Fuchsia,#FF00FF
Jam,#67032F
Amaranth Purple,#AB274F
Phlox,#DF00FF
Iris,#9867C5
Cardinal,#8A244E
Carnival,#7E2A65
Ce Soir,#9271A7
Pale Purple,#AA98A9
French Lilac,#86608E
Eggplant,#483248
Indigo,#4B0082
Veronica,#A020F0
Centre Stage,#833174
Long Distance,#6F456E
Centaurian,#6E5977
Bubblegum,#8378C7
Chapta And Verse,#574C5E
Lipstick Stain,#8E4785
Bright Lilac,#C95EFB
Bright Purple,#BE03FD
Amethyst,#9966CC
Fog,#D5C7E8
Barney,#AC1DB8
Dull Purple,#84597E
Smyrna,#A2627A
Dusky Purple,#895B7B
Dusty Lavender,#AC86A8
Little Princess,#E9DCE5
Faded Purple,#795F80
East Side,#AA8CBC
Clairvoyant,#480656
Autumn Purple,#834468
Baby Purple,#CA9BF7
Purplish Orchid,#8B4789
African Violet,#B284BE
Cold Purple,#9D8ABF
Dreamweaver,#DCD5DE
Black Currant,#540E32
Dark Lavender,#734F96
Dark Lilac,#9C6DA5
Fun Fair,#772C68
Deep Mauve,#D473D4
Pastel Purple,#B39EB5
Biloba Flower,#AE99D2
Blurple,#5539CC
Berry Crayola,#843179
Glossy Grape,#AB92B3
Heather,#A484AC
Plum Web,#D793D4
Hot Purple,#CB00F5
Royal Purple,#4B006E
Funtasia,#4C3371
Traditional Purple,#8E4585
Genie,#833E77
Purplish,#94568C
Old Lavender,#796878
Languid Lavender,#D6CADD
Wisteria,#BCA7E8
Lavender,#9F90D0;#E6E6FA
Magnolia,#F8F4FF
Lavender Blue,#8B88F8
Lavender Gray,#BDBBD7
Razzmic Berry,#8D4E85
Mauveine,#8D029B
Lightish Purple,#A552E6,
Lilac,#C8A2C8
Carolina Plum,#9B84A1
Lilac Bush,#9470C4
Lily,#C19FB3
London Hue,#AE94AB
Long Shot,#8776B6
Kalamata,#705160
Lilac Luster,#AE98AA
Magenta,#FF00FF
Lavender Purple,#967BB6
Lenurple,#BA93D8
Light Blue Violet,#AE8BE7
Violet,#8F00FF
Rhythm,#777696
Pale Lavender,#DCD0FF
Pastel Violet,#CB99C9
Pomp And Power,#86608E
Regalia,#522D80
Brown,#653700
Burnt Umber,#8A3324
Russet,#80461B
Auburn,#A52A2A
Bronze,#CD7F32
Tan,#D2B48C
Brown Ochre,#87421F
Copper,#B87333
Cigar,#773F1A
Chocolate,#7B3F00
Cinnamon,#7B3F00
Burnt Maroon,#420303
Ochre,#CC7722
Taupe,#483C32
Cocoa,#875F42
Light Brown,#B5651D
Cajun,#662F2B
Magma,#875639
Hawaiian Tan,#99522B
Bean,#3D0C02
Saddle,#8B4513
Hazard,#A3532A
Heartwood,#A6602F
Chocolate Brown,#411900
Sienna,#A0522D
Cape Palliser,#75482F
Antique Brass,#CD9575
Grizzly,#885818
Brownie,#964B00
Hairy Heath,#633528
Mai Tai,#A56531
Burnt Sienna,#683332
Ginger,#B06500
Cedar,#3E1C14
Sepia,#704214
Scoria,#532620
Tan,#8B5A2B
Fawn,#E5AA70
Heatwave,#6E2620
Clay,#B66A50
Rust,#B7410E
Meteor,#BB7431
Charisma,#854926
Buff,#B38C58
Lone Ranger,#87614F
Buffalo,#765F57
Bull Shot,#75442B
Bullion,#956A3E
Mexican Wave,#B64A32
Claypot,#AB6950
Bole,#79443B
Bungy,#AC713C
Coffee,#6F4E37
Burnished Orange,#92543A
Hot Chocolate,#3D2622
Mustang,#7F352E
Chelsea Gem,#95532F
Cinnamon,#D2691E
Buttered Rum,#9D702E
Brown Rust,#AF593E
Brown Sugar,#8E6540
Brownie Points,#6E4233
Piper,#9D5432
Kakaramea,#6E2C25
Hukanui,#572A23
Brownish,#9C6D57
Rust Brown,#8B3103
Brownish Gray,#86775F
Auburn,#9A3001
Ash Brown,#98623C
Adobe,#BD6C48
Jalapeno,#701C28
Golden Brown,#996515
Acorn,#D7A98C
Afficionado,#453638
Alter Ego,#AB4C48
Jarrah Stain,#57332C
Axis,#846C55
Brown Nose,#6B4423
Footloose,#A4613A
Jazz,#5F2C2F
Mahogany,#C04000
French Puce,#4E1609
Kenyan Copper,#6C322E
Goldie,#B39B69
Baker’S Chocolate,#5C3317
Gold Dust,#927748
Dynamite,#6F282B
Blast Yellow,#7E5B3F
Boomerang,#794E33
Coconut,#965A3E
Kobicha,#6B4423
Barley Corn,#A68B5B
Caramel,#AF6F09
Bracken,#4A2A04
Brazil,#815B28
Caput Mortuum,#592720
Tuscan Brown,#6F4E37
Ecru,#C2B280
Deep Brown,#410200
Bitter Chocolate,#9E5B40
Hawaiian Brown,#99522C
Brick,#9C661F
Brandy,#DCB68A
Chamoisee,#A0785A
Carnaby Tan,#5B3A24
Peru,#CD853F
Double Lumberjack,#633E36
Double Otter,#796053
Beige,#F5F5DC
Khaki,#C3B091
Almond,#EFDECD
Buttercream,#EFE0CD
Butter Toast,#D2AD84
Desert Gray,#B8A487
Beige Linen,#E2DAC6
Mojave Desert,#C7B595
Latte,#C5A582
Feather Brown,#B8AD9E
Fortune Cookie,#E0C5A1
Beaver,#9F8170
Wheat,#F5DEB3
Dark Vanilla,#D1BEA8
French Beige,#A67B50
Burlywood,#DEB887
Cashmere,#D1B399
Croissant,#C4AB86
Café Au Lait,#A67B5B
Wood brown,#C19A6B
Sand,#F6D7B0
Champagne,#FAD6A5
Froth Green,#CAC7B7
Gallery,#DCD7D1
Gargoyle,#907E69
Goldmine,#9B8160
Half Oilskin,#726459
Hampton,#E5D8AF
Haystack,#DEC7A1
Honey,#FCEDC5
Howlin Wolf,#B79F81
Incognito,#8E7C6E
Indian Khaki,#C3B091
Janna,#DED1B7
Joss,#B9A896
Kangaroo,#C5C3B0
Light French Beige,#C8AD7F
Fossil,#D5CBB2
Manilla,#D5C3AC
Matchstick,#C3B38D
Sanctuary,#A68459
Sandspit Brown,#D2C6B6
Bone,#E3DAC9
Black,#000000
Acadia,#1B1404
All Black,#181818
Almost Black,#070D0D
Asphalt,#130A06
Aztec,#0D1C19
Baltic Sea,#2A2630
Banjul,#130A06
Blackout,#211916
Black Bean,#081910
Black Leather Jacket,#253529
Onyx,#353839
Black Rock,#0D0332
Black Russian,#0A001C
Blue Bark,#041322
Blue Charcoal,#010D1A
Bunker,#0D1117
Caffeine,#3C3135
Cannon Black,#251706
Chimney Sweep,#1C1D1F
Cinder,#0E0E18
Cod Gray,#0B0B0B
Cyanish Black,#1A1D1D
Double Barbecue,#282020
Double Cod Gray,#1D2020
Ebony,#0C0B1D
Eerie Black,#1B1B1B
Foundry,#2C2E32
Gordons Green,#0B1107
Green Waterloo,#101405
Greenish Black,#1A1D1A
Gunmetal,#020D15
Ivory Black,#292421
Jacko Bean,#2E1905
Jaguar,#080110
Magentaish Black,#1D1A1D
Maire,#130A06
Marshland,#0B0F08
Maxwell Smart,#2A2525
Smoky Black,#100C08
Gray,#808080
Ajay,#B0ACAE
Abbey,#495154
Silver,#C0C0C0
Charcoal,#36454F
Thunder,#BDB7AB
Antique White,#8B8378
Snow,#8B8989
Gray Owl,#D5D5CD
Carbon Gray,#625D5D
Gainsboro,#DCDCDC
Aquashield Half Tapa,#929288
Gray Dolphin,#5C5858
Ash Gray,#B2BEB5
Gray Goose,#D1D0CE
Avatar,#8B8F8E
Basalt,#524E50
Bombay,#AEAEAD
Tapa,#7B7874
Tasman,#BAC0B3
Boulder,#7A7A7A
Cadet Gray,#91A3B0
Casper,#AAB5B8
Cathedral,#4B4D4A
Charcoal Gray,#3C4142
Chicago,#5B5D56
Chicane,#686765
Cobblestone,#807F73
Condor,#5B605C
Dark Greenish Gray,#535953
Dark Medium Gray,#A9A9A9
Dark Gray,#363737
Dark Olivish Gray,#595953
Davy Gray,#555555
Delta,#999B95
Delta Gray,#A5A395
Detroit,#787774
Dim Gray,#545454
Dark Silver,#746D69
Dna,#333633
Double Concrete,#C5C5C3
Dusty Gray,#B29CA2
Double Friar Gray,#756F62
Graphite Gray,#4B4E53
Double Rakaia,#A9A5A5
Double Schooner,#726962
Rustic Gray,#A6ABA5
Double Surrender,#A8AAAB
Double Trojan,#656664
Dove Gray,#6D6C6C
Dusted Blue,#929FA2
Foggy Gray,#A7A69D
Silk Gray,#B6B3A8
White Gray,#F2F3F5
Agreeable Gray,#D1CBC1
Forcefield,#899694
Gentle Gray,#DADADA
Forecast,#A2AAB1
Battleship Gray,#848482
Freestyling,#A4A8B0
French Gray,#BDBDC6
Friar Gray,#807E79
Gannet Gray,#8E918F
Gauntlet,#716F69
Geyser,#CBD0CF
Sea Gray,#9AA2A4
Ghost,#C0BFC7
Gray Chateau,#9FA3A7
Gray Nurse,#D1D3CC
Chrome,#DBE2E9
Gray Suit,#9391A0
Dull Gray,#8B837E
Gunsmoke,#7A7C76
Half Tapa,#929288
Iron,#A59C94
Half Tasman,#D0D5CD
Half Taupe Gray,#9D998F
Half Truffle,#CDC9BE
Smokey Gray,#726E6D
Identity,#6E6767
Storm Gray,#B5BAB6
Imagine,#A39894
Ironside Gray,#676662
Nevada,#666A6D
Seal,#818380
Ivory,#8B8B83
Kensington Gray,#9D9F9A
Abalone,#D6CFC7
Light Gray,#D3D3D3
Medium Gray,#BEBEBE
Loblolly,#B3BBB7
Mercury,#D5D2D1
Timberwolf,#DBD7D2
Nickel,#727472
Manatee,#8D90A1
Meridian,#7C7E7E
Outer Space,#414A4C
Metro,#ACAFB1
Midwinter Mist,#CCCECE
Oslo Gray,#818988
Pastel Gray,#CFCFC4
Pink Gray,#E7DADA
Quick Silver,#A6A6A6
Roman Silver,#838996
Barely There,#DFDDD5
Rugged Lavender,#80818B
Scorpion,#5E5E5E
Seashell,#8B8682
White,#FFFFFF
Alabaster,#F2F0E6
Old Wood,#F0EEE4
Azure Mist,#F0FFFF
Oyster White,#E3DFD2
Vista,#FDFCFA
Rice,#FAF5EF
Baby Powder,#FEFEFA
Floral,#FFFAF0
Bianca,#F4EFE0
Daisy,#FAFAFA
Bluish White,#F6F6FF
Milk,#FDFFF5
Natural White,#EEECE6
Powder,#FBFCFA
Old Lace,#FDF5E6
White Dove,#F0EFE7
Pearl,#FBFCF8
Pink Salt,#F8EEEC
Catskill,#E0E4DC
Spring,#F3F0E8
Citrine White,#DEDDCB
Cyanish White,#F6FFFF
Coconut Butter,#F2EFE1
Cream,#FFFDD0
Designer White,#D7D9E2
White Whisper,#EAE8E1
Double Alabaster,#F3F3ED
Double Barely There,#E4E2D8
Eighth Ash,#E3E2DA
Bright White,#F4F5F0
Ghost,#F8F8FF
Glistening,#F4F4EC
Eggshell,#F0EAD6
Greenish White,#F6FFF6
Half Orchid White,#F7F4EA
Dutch White,#EFDFBB
Half Rice Cake,#F2F0E7
Half Sea Fog,#EFEEE7
Half White Pointer,#E2E1DB
Isabelline,#F4F0EC
Merino,#F2EBDD
Manyana,#F2F0E8
Marble,#E6E4D8
